Offset 000181: arquivo1 = B0 | arquivo2 = B5
Offset 000182: arquivo1 = D9 | arquivo2 = AC
Offset 000183: arquivo1 = 37 | arquivo2 = 45
Offset 000184: arquivo1 = DC | arquivo2 = D9
Offset 000185: arquivo1 = B6 | arquivo2 = B1
Offset 000186: arquivo1 = 70 | arquivo2 = 07
Offset 000187: arquivo1 = 8C | arquivo2 = 89
Offset 000188: arquivo1 = 36 | arquivo2 = 44
Offset 000189: arquivo1 = 97 | arquivo2 = 92
Offset 00018A: arquivo1 = 07 | arquivo2 = 71
Offset 00018D: arquivo1 = 71 | arquivo2 = 07
Offset 00018E: arquivo1 = 46 | arquivo2 = 34
Offset 00018F: arquivo1 = 19 | arquivo2 = 1C
Offset 000190: arquivo1 = 1F | arquivo2 = 6C
Offset 000191: arquivo1 = 0B | arquivo2 = 0F
Offset 000194: arquivo1 = B1 | arquivo2 = B0
Offset 000196: arquivo1 = E2 | arquivo2 = 90
Offset 000197: arquivo1 = CF | arquivo2 = CA
Offset 000198: arquivo1 = A3 | arquivo2 = D1
Offset 000199: arquivo1 = 18 | arquivo2 = 1C
Offset 00019A: arquivo1 = 33 | arquivo2 = 32
Offset 00019C: arquivo1 = 9B | arquivo2 = 9A
Offset 00019D: arquivo1 = 9F | arquivo2 = 9E
Offset 00019E: arquivo1 = 40 | arquivo2 = 32
Offset 00019F: arquivo1 = BA | arquivo2 = BF
Offset 0001A0: arquivo1 = 0B | arquivo2 = 79
Offset 0001A1: arquivo1 = 7B | arquivo2 = 7F
Offset 0001A2: arquivo1 = D5 | arquivo2 = D7
Offset 0001A4: arquivo1 = 25 | arquivo2 = 24
Offset 0001A5: arquivo1 = DE | arquivo2 = DC
Offset 0001A6: arquivo1 = FA | arquivo2 = 88
Offset 0001A7: arquivo1 = D7 | arquivo2 = D2
Offset 0001A8: arquivo1 = FC | arquivo2 = 8E
Offset 0001A9: arquivo1 = 5E | arquivo2 = 5A
Offset 0001AA: arquivo1 = 73 | arquivo2 = 70
Offset 0001AC: arquivo1 = 1F | arquivo2 = 1E
Offset 0001AD: arquivo1 = B8 | arquivo2 = BB
Offset 0001AE: arquivo1 = 5F | arquivo2 = 2D
Offset 0001AF: arquivo1 = 34 | arquivo2 = 31
Offset 0001B0: arquivo1 = 72 | arquivo2 = 00
Offset 0001B1: arquivo1 = 87 | arquivo2 = 83
Offset 0001B2: arquivo1 = B9 | arquivo2 = BD
Offset 0001B4: arquivo1 = 0C | arquivo2 = 0D
Offset 0001B5: arquivo1 = B9 | arquivo2 = BD
Offset 0001B6: arquivo1 = DC | arquivo2 = AE
Offset 0001B7: arquivo1 = E5 | arquivo2 = E0
Offset 0001B8: arquivo1 = 56 | arquivo2 = 24
Offset 0001B9: arquivo1 = E4 | arquivo2 = E0
Offset 0001BA: arquivo1 = C8 | arquivo2 = CD
Offset 0001BC: arquivo1 = F4 | arquivo2 = F5
Offset 0001BD: arquivo1 = D9 | arquivo2 = DC
Offset 0001BE: arquivo1 = 2B | arquivo2 = 59
Offset 0001BF: arquivo1 = 52 | arquivo2 = 57
Offset 0001C0: arquivo1 = 7B | arquivo2 = 09
Offset 0001C1: arquivo1 = D3 | arquivo2 = D7
Offset 0001C2: arquivo1 = 2C | arquivo2 = 2A
Offset 0001C4: arquivo1 = A2 | arquivo2 = A3
Offset 0001C5: arquivo1 = 7E | arquivo2 = 78
Offset 0001C6: arquivo1 = 06 | arquivo2 = 74
Offset 0001C7: arquivo1 = 37 | arquivo2 = 32
Offset 0001C8: arquivo1 = 9F | arquivo2 = ED
Offset 0001C9: arquivo1 = 4E | arquivo2 = 4A
Offset 0001CA: arquivo1 = BC | arquivo2 = BB
Offset 0001CC: arquivo1 = F8 | arquivo2 = F9
Offset 0001CD: arquivo1 = FB | arquivo2 = FC
Offset 0001CE: arquivo1 = F4 | arquivo2 = 86
Offset 0001CF: arquivo1 = 63 | arquivo2 = 66
Offset 0001D0: arquivo1 = 20 | arquivo2 = 52
Offset 0001D1: arquivo1 = B1 | arquivo2 = B5
Offset 0001D2: arquivo1 = 59 | arquivo2 = 51
Offset 0001D4: arquivo1 = 29 | arquivo2 = 28
Offset 0001D5: arquivo1 = 10 | arquivo2 = 18
Offset 0001D6: arquivo1 = 89 | arquivo2 = FB
Offset 0001D7: arquivo1 = 88 | arquivo2 = 8D
Offset 0001D8: arquivo1 = 81 | arquivo2 = F3
Offset 0001D9: arquivo1 = 33 | arquivo2 = 37
Offset 0001DA: arquivo1 = 02 | arquivo2 = 0B
Offset 0001DC: arquivo1 = CC | arquivo2 = CD
Offset 0001DD: arquivo1 = 9B | arquivo2 = 92
Offset 0001DE: arquivo1 = C9 | arquivo2 = BB
Offset 0001DF: arquivo1 = AF | arquivo2 = AA
Offset 0001E0: arquivo1 = E6 | arquivo2 = 94
Offset 0001E1: arquivo1 = 6B | arquivo2 = 6F
Offset 0001E2: arquivo1 = B0 | arquivo2 = C1
Offset 0001E4: arquivo1 = 07 | arquivo2 = 06
Offset 0001E5: arquivo1 = 60 | arquivo2 = 11
Offset 0001E6: arquivo1 = 18 | arquivo2 = 6A
Offset 0001E7: arquivo1 = B7 | arquivo2 = B2
Offset 0001E8: arquivo1 = 0C | arquivo2 = 7E
Offset 0001E9: arquivo1 = 8A | arquivo2 = 8E
Offset 0001EA: arquivo1 = 2D | arquivo2 = 5F
Offset 0001EC: arquivo1 = 77 | arquivo2 = 76
Offset 0001ED: arquivo1 = B0 | arquivo2 = C2
Offset 0001EE: arquivo1 = FA | arquivo2 = 88
Offset 0001EF: arquivo1 = 6B | arquivo2 = 6E
Offset 0001F0: arquivo1 = F0 | arquivo2 = 82
Offset 0001F1: arquivo1 = D0 | arquivo2 = D4
Offset 0001F2: arquivo1 = 6D | arquivo2 = 1E
Offset 0001F4: arquivo1 = 58 | arquivo2 = 59
Offset 0001F5: arquivo1 = 2F | arquivo2 = 5C
Offset 0001F6: arquivo1 = 15 | arquivo2 = 67
Offset 0001F7: arquivo1 = 31 | arquivo2 = 34
Offset 0001F8: arquivo1 = E7 | arquivo2 = 94
Offset 0001F9: arquivo1 = 1B | arquivo2 = 6E
Offset 0001FA: arquivo1 = 1A | arquivo2 = 6E
Offset 0001FC: arquivo1 = 98 | arquivo2 = 99
Offset 0001FD: arquivo1 = 55 | arquivo2 = 21
Offset 0001FE: arquivo1 = 2A | arquivo2 = 58
Offset 0001FF: arquivo1 = 97 | arquivo2 = 92
Offset 000200: arquivo1 = 3F | arquivo2 = 4D
Offset 000201: arquivo1 = B0 | arquivo2 = B4
Offset 000202: arquivo1 = D9 | arquivo2 = AC
Offset 000204: arquivo1 = DD | arquivo2 = DC
Offset 000205: arquivo1 = B6 | arquivo2 = C3
Offset 000206: arquivo1 = 70 | arquivo2 = 02
Offset 000207: arquivo1 = 8C | arquivo2 = 89
Offset 000208: arquivo1 = 36 | arquivo2 = 44
Offset 000209: arquivo1 = 97 | arquivo2 = 93
Offset 00020A: arquivo1 = 07 | arquivo2 = 71
Offset 00020C: arquivo1 = 2D | arquivo2 = 2C
Offset 00020D: arquivo1 = 71 | arquivo2 = 07
Offset 00020E: arquivo1 = 46 | arquivo2 = 34
Offset 00020F: arquivo1 = 19 | arquivo2 = 1C
Offset 000210: arquivo1 = 1E | arquivo2 = 6C
Offset 000211: arquivo1 = 0B | arquivo2 = 0C
Offset 000214: arquivo1 = B2 | arquivo2 = B0
Offset 000216: arquivo1 = E2 | arquivo2 = 90
Offset 000217: arquivo1 = CF | arquivo2 = CA
Offset 000218: arquivo1 = A3 | arquivo2 = D1
Offset 000219: arquivo1 = 18 | arquivo2 = 1F
Offset 00021A: arquivo1 = 33 | arquivo2 = 32
Offset 00021C: arquivo1 = 98 | arquivo2 = 9A
Offset 00021D: arquivo1 = 9F | arquivo2 = 9E
Offset 00021E: arquivo1 = 40 | arquivo2 = 32
Offset 00021F: arquivo1 = BA | arquivo2 = BF
Offset 000220: arquivo1 = 0B | arquivo2 = 79
